offensive_words,count
තෝ,93
ගොන්,63
පුක,60
හැත්ත,55
සක්කිලි,50
පොන්න,44
නොදකින්,41
තොපි,40
රෙද්ද,37
මෝඩ,35
යකෝ,35
බිජ්ජ,35
අවජාතක,32
පකෝ,32
වේස,31
පයිය,29
තොට,28
කාලකණ්ණි,28
හුජ්ජ,25
වේසි,20
කිම්බ,20
බැල්ලි,20
කාලකන්නි,19
කැරි,17
පුකේ,17
බල්ලා,15
බඩුව,14
පල,14
නාකි,13
පලයන්,13
පර,13
හුත්ත,13
ගොං,12
ලබ්බ,12
වේසිගෙ,12
පිස්සු,12
පට්ට,12
ගොනා,11
හරක්,10
සාප,9
හුත්තෝ,9
හෙන,9
තොපිට,9
හුක,8
පස්ස,8
හරකා,8
පක,8
පිස්සා,8
වල්,7
පොන්නයෝ,7
හුත්තී,7
ගොබ්බ,7
පකයා,7
වේසිගේ,7
බඩුවක්,6
හුත්තො,6
ගෑණි,6
ඌ,6
තොපේ,6
බල්ලො,6
පොන්නයෙක්,6
මී,6
බල්ලෝ,6
මුසලයා,6
මූ,5
තො,5
ඇට,5
තොගෙ,5
තොගේ,5
පරයා,5
මුන්,5
ලබ්බක්,5
ලබ්බවල්,5
මැරියන්,5
පක්,4
උස්සන්,4
හෙණ,4
පාහර,4
පුතා,4
පක්කු,4
මැටි,4
පුතාලා,4
ගූ,4
පකයෝ,4
වේසියක්,4
කරුමයක්,4
ලබ්බෙ,4
පකේ,4
ඒකි,3
පුතෙක්,3
මූසල,3
උබෙ,3
හැතිකරේ,3
හුකන,3
හුත්තක්,3
බිජ්ජක්,3
ලෙව,3
අම්මට,3
කාලකන්ණි,3
ගහලා,3
හැමිනෙන්න,3
හුකන්න,3
බූරුවා,3
පඳුරු,3
ඕයි,3
අඩු,3
හරකෙක්,3
පොල්,3
බල්ලෙක්,3
තුක්,3
සාපයක්,3
ටහුකන්ඩ,3
පල්ලෙන්,3
පුතෝ,3
හොරිකඩ,3
පොන්නයා,3
හුකේ,3
හොර,2
කැහි,2
කරුම,2
කිම්බක්,2
පයියා,2
හාල්,2
බඩුවම,2
නන්නානේ,2
ගහනවා,2
වේසිඟේ,2
වේවා,2
පොන්නකම්,2
හුත්තිගේ,2
පුපට,2
වේසී,2
පකයට,2
අවජාතකයො,2
පලන්න,2
මූම,2
බැල්ලිගෙ,2
කාලා,2
තෝත්,2
බොරු,2
කාළකණ්නියා,2
ලෙඩ,2
පුප,2
රෙන,2
බඩ්ඩක්,2
ගෑණු,2
මුගෙ,2
කරුමේ,2
කරුමෙට,2
ජෝක්,2
තුට්ටු,2
වෙසිගෙ,2
අමු,2
ලෙවකන්න,2
තඩියා,2
හුත්තෙක්,2
මොංගල්,2
දෙන්න,2
අහවල්,2
දේශපාලුවෝ,2
වහල්,2
පජාත,2
කාලකන්නියා,2
කුලේ,2
නැති,2
හෙනම,2
අමාරුවක්,2
කැරිම,2
මොඩයා,2
අමන,2
ඕකුන්,2
පල්,2
හොරෙක්ට,2
බඩු,2
කෑල්ල,2
හිඟන,2
බිජ්ජො,2
පුකයි,2
මිනිහෝ,2
වහලා,2
බැල්ලිට,2
බිජ්ජෙක්,2
බිජ්ජා,2
හැත්තට,2
මුං,2
ඇරලා,2
හුත්තිගෙ,2
කාලකණ්ණියා,2
බැල්ලියෝ,2
දෙකේ,2
වැලලෙන්න,2
වනචරයා,2
ගෑනු,2
තමුසෙ,2
බූරු,2
කපන්,2
හු,2
කිම්බට,2
බැල්ලිගේ,2
ඕනේ,2
