offensive_words,count
තෝ,397
පුක,249
ගොන්,228
හැත්ත,222
සක්කිලි,187
නොදකින්,168
පොන්න,166
තොපි,159
හුජ්ජ,146
යකෝ,146
කාලකණ්ණි,140
පකෝ,140
අවජාතක,135
පයිය,128
මෝඩ,127
රෙද්ද,116
බිජ්ජ,116
තොට,110
වේස,99
වේසි,95
හුත්ත,86
බැල්ලි,73
හරකා,68
ලබ්බ,67
බල්ලා,64
ගොං,62
පලයන්,62
කාලකන්නි,62
පර,62
කැරි,60
බඩුව,57
පක,56
කිම්බ,55
පිස්සු,54
පල,53
නාකි,51
පුකේ,51
වල්,46
ගොනා,45
හෙන,45
හුත්තෝ,43
පට්ට,43
හරක්,40
මුසලයා,37
වේසිගෙ,37
තමුසෙ,37
පිස්සා,37
සාප,36
හුත්තො,34
තොපිට,34
තොගෙ,34
බල්ලො,31
පොන්නයා,30
තූ,30
බල්ලෝ,29
පස්ස,29
ගොබ්බ,27
ගූ,27
ගෑණි,26
පරයා,25
බඩුවක්,24
පොන්නයෝ,23
තොපේ,22
පඩ,22
පකයා,21
වේසිගේ,21
මී,21
තොගේ,20
හුත්තී,19
උඹ,18
හුක,17
තඩි,17
පකේ,17
ලබ්බක්,16
පොන්නයෙක්,16
ගල්,15
කැත,15
මූ,15
හරකෙක්,15
හුත්තිගෙ,14
අමු,14
බලු,14
බූරුවා,14
පකයෝ,14
තන්,14
හැතිකරේ,14
හුකන,13
තො,13
පුතා,13
බල්ලෙක්,13
හු,13
මැරියන්,13
රෙන,12
හැමිනෙන්න,12
ඇට,12
පක්කු,12
හුකන්න,12
අයිසෙ,12
ඌ,12
කාලකණ්නි,11
වහල්,11
පුතාලා,11
හුකේ,10
ලබ්බවල්,10
මූසල,10
හිඟන,10
හුත්තක්,10
සාපයක්,10
කැරියා,10
තුක්,10
පුතෝ,9
පරට්ට,9
කාලකන්නියා,9
පරට්ටි,9
තුප්පහි,9
යකො,9
බඩු,9
ගොන්නු,9
බැල්ලියෝ,9
මුන්,9
ගස්,8
ලබ්බෙ,8
අහවල්,8
පල්ලෙන්,8
පකෙක්,8
අඩු,8
පොන්නයො,8
ගෙම්බා,8
හැත්තක්,8
පුකයි,8
කෑල්ල,8
බඩ,8
කරුමයක්,8
හොර,8
නෙදකින්,8
හුත්තිගේ,8
බූරුවො,8
හෙණ,8
කුහක,8
කොල්ලො,8
ඌරා,7
ටෞකන්ඩ,7
රෙද්දෙ,7
රෙදි,7
ඇටේ,7
චූ,7
වැඩ,7
හුකන්නා,7
ඌට,7
පක්,7
ගොබ්බයෝ,7
පයියක්,7
පලයං,7
ඕයි,7
වඳ,7
නැති,7
තොපෙ,7
බිජ්ජො,7
මැටි,7
හුත්තෙක්,7
මොංගල්,7
තුහ්,7
උස්සන්,7
පකයලා,6
පකයි,6
බං,6
අම්මට,6
තු,6
පුකට,6
පරයො,6
ගහනවා,6
ජංගි,6
රෙද්දක්,6
බිජ්ජෝ,6
ආතල්,6
මීහරකා,6
වේවා,6
යක්කු,6
අමන,6
පුතෙක්,6
හැත්තට,6
බැල්ලිගේ,6
පාහර,6
නෙද්දකින්,6
වේසියක්,6
පකයො,5
පරයෙක්,5
අවලම්,5
වේසා,5
හුකාපන්,5
පොන්නය,5
කොල්ලා,5
මුසලයෙක්,5
ගහපන්,5
පොඩි,5
වේසියෙක්,5
මෝඩයා,5
උඹේ,5
දෙක,5
බිජ්ජක්,5
අවජාතකයෝ,5
වේ,5
හුකන්නෝ,5
නන්නානේ,5
ටහුකන්ඩ,5
ගෝත,5
තොපිම,5
කටට,5
හුත්ති,5
බැල්ලිගෙ,5
බූරු,5
කිම්බට,5
වේසියේ,5
පඳුරු,5
මෝඩයෝ,5
මොඩ,5
වේසකමේ,5
කුලේ,5
විසේ,5
මහ,5
බිජ්ජෙක්,5
දෙන,5
තමුසෙගෙ,5
වනචර,5
ඒකි,5
තෝව,5
පාදඩ,5
අවජාතකයා,5
තොපිල,5
නොදකිං,5
හුත්තා,5
උන්,5
හොරෙක්,5
පො,5
හුකා,5
නෑ,5
තොපිලා,5
හුත්තක්ද,5
වේසියෝ,5
හුකනවා,4
ජෝක්,4
අස්සේ,4
බොරු,4
