word,Category
හුත්තො,Gender
තෝ,Gender
පිස්සු,Disability
කෙලින්නේ,Gender
ගොන්,Disability
ගොන්,Disability
පකයෝ,Gender
පකයො,Gender
යකෝ,Gender
හුජ්ජ,Gender
මෝඩ,Disability
පක,Gender
අජූත,Gender
භූත,Gender
අවජාතක,Gender
බිජ්ජ,Gender
නොදකින්,Gender
අඩො,Gender
ගෙම්බා,Gender
හොම්බ,Gender
තලාගන්නැතිව,Gender
අවජාතක,Gender
තෝ,Gender
පට්ට,Gender
වෙස්සි,Gender
තම්බින්ට,Gender
තොට,Gender
තෝ,Gender
කැහි,Gender
වේස,Gender
හුකන,Gender
බල්ලියෝන්,Gender
තොත්,Gender
පර,Gender
වෙසිගේ,Gender
කාලකන්නි,Gender
වෙස,Gender
හැතිකරේ,Gender
තොගේ,Gender
කැහි,Gender
හුත්ත,Gender
පර,Gender
බැල්ලි,Gender
පුක,Gender
කාලකන්නි,Gender
හුත්තෝ,Gender
තොපි,Gender
හුකන්නෝ,Gender
මෝඩ,Disability
මුසලයා,Gender
බිජ්ජ,Gender
පොන්න,Gender
කාලාකණ්ණි,Gender
ඕයී,Gender
පොන්න,Gender
ඌවම,Gender
ප,Gender
සක්කිලි,Gender
කාලකන්නි,Gender
තොපි,Gender
පයිය,Gender
Teamදිගපයිය,Gender
වට්,Gender
පක්,Gender
කිම්බ,Gender
කිම්බ,Gender
කිම්බ,Gender
තෝ,Gender
කාලකණ්ණි,Gender
දේශපාලුවන්,Gender
ගොන්,Disability
පුක,Gender
බල්ලෝ,Gender
හුජ්ජ,Gender
වේසිගෙ,Gender
පුතාලා,Gender
බැල්ලිගෙ,Gender
තොපි,Gender
මැරියව්,Gender
සක්කිලි,Gender
හැත්ත,Gender
ලොල්ලෙක්,Gender
පුක,Gender
වේස,Gender
කමේ,Gender
පට්ට,Gender
ගොන්,Disability
අම්මට,Gender
හුකපන්,Gender
පොන්න,Gender
කැරි,Gender
ලොද,Gender
පිත්තමා,Gender
ගොන්,Disability
හරක්,Gender
හුකහන්,Gender
තොගෙ,Gender
බිජ්ජ,Gender
තෝ,Gender
බිජ්ජ,Gender
කපන්න,Gender
යකෝ,Gender
අවජාතකයො,Gender
තෝ,Gender
සක්කිලි,Gender
වේසිගෙ,Gender
පුතාල,Gender
බැල්ලි,Gender
තොපි,Gender
කාලකණ්ණි,Gender
අවලම්,Gender
බල්ලන්ට,Gender
හෙණ,Gender
හත,Gender
ගහනවා,Gender
සක්කිලි,Gender
පක,Gender
හුක,Gender
තොපි,Gender
පයියො,Gender
පකෝ,Gender
තෝ,Gender
හිටපන්කෝ,Gender
වේසි,Gender
වේසි,Gender
වේස,Gender
ඕකුන්,Gender
පුපට,Gender
කාලකණ්ණි,Gender
රෙද්ද,Gender
උස්සන්,Gender
වේස,Gender
මී,Gender
හරකා,Gender
පොන,Gender
පොන්න,Gender
ගොන්,Disability
බයියෙක්,Gender
බයියත්,Gender
තොට,Gender
හෙන,Gender
ගහනවා,Gender
තො,Gender
කුනු,Gender
වෙන්න,Gender
කාලකණ්ණි,Gender
පකීර්ද,Gender
පල,Gender
ගොන්,Disability
හුත්ත,Gender
නෙදකින්,Gender
පොන්සියෝ,Gender
බඩුවක්,Gender
බිජ්ජ,Gender
නොදකින්,Gender
තෝ,Gender
පල,Gender
සක්කිලි,Gender
පාහරයන්ගෙ,Gender
සක්කිලි,Gender
කාලකණ්ණි,Gender
බොරුකාර,Gender
ලපයෝ,Gender
හොර,Gender
හැත්ත,Gender
බැල්ලි,Gender
බල්ලා,Gender
න්නයාගේ,Gender
කැරි,Gender
වේස,Gender
කිම්බ,Gender
මුසලයා,Gender
හුකලා,Gender
තෝ,Gender
පොන්න,Gender
පකයා,Gender
හුත්තො,Gender
පයිය,Gender
පුක්,Gender
චාරය,Gender
පුක,Gender
ගෑනියෙ,Gender
තොට,Gender
රෙද්ද,Gender
සාප,Gender
සාපයක්,Gender
පකෝ,Gender
තොපිල,Gender
පයිය,Gender
කිම්බෙක්,Gender
පුක,Gender
කරපංකෝ,Gender
රෙද්ද,Gender
බරී,Gender
කැල්ලා,Gender
තොට,Gender
පුකේ,Gender
හුත්තෝ,Gender
ලැජ්ජ,Gender
යකෝ,Gender
තෝ,Gender
තෝ,Gender
යකෝ,Gender
නාකියා,Gender
යකෝ,Gender
තොපි,Gender
නොදකින්,Gender
හුජ්ජ,Gender
කොටියෝ,Gender
හෙනයක්,Gender
පලයන්,Gender
මැරියන්,Gender
වේසිගේ,Gender
පුතා,Gender
ගොන්,Disability
කැටයම්,Gender
වේසි,Gender
තොපි,Gender
ඩෝ,Gender
පිස්සා,Gender
පොන්න,Gender
පුක,Gender
ලබ්බ,Gender
ගොන්,Disability
මෝඩ,Disability
ගොන්,Disability
සාපයක්,Gender
බල්ලා,Gender
කැරි,Gender
වේස,Gender
බැල්ලිට,Gender
හුත්ත,Gender
පක්කු,Gender
කිම්බ,Gender
පුත්තලම්,Gender
බූරුවො,Gender
මැරිල,Gender
පල,Gender
පයිය,Gender
කපලා,Gender
තොට,Gender
හුජ්ජ,Gender
තෝ,Gender
ගොන්,Disability
බිජ්ජෙක්,Gender
පල,Gender
හුත්තී,Gender
තෝ,Gender
රෙද්දම,Gender
සක්කිලි,Gender
සක්කිලිම,Gender
පුක,Gender
වෙවුලන,Gender
පොන්නයොත්,Gender
පොන්නයෙක්,Gender
නෙමෙයිනේ,Gender
රෙද්ද,Gender
ඌ,Gender
පකෝ,Gender
ඌව,Gender
තෝ,Gender
තොගේ,Gender
මකබෑවියං,Gender
ගොං,Gender
රිලවො,Gender
පො,Gender
කැඳයා,Gender
පඹයා,Gender
තෝ,Gender
සාපේ,Gender
තොට,Gender
හෙනම,Gender
ගහපං,Gender
ගොං,Gender
හුජ්ජ,Gender
බිජ්ජ,Gender
කාලකණ්ණි,Gender
අවජාතක,Gender
බල්ලොත්,Gender
සක්කිලි,Gender
බැල්ලි,Gender
කාලකණ්ණි,Gender
ලබ්බවල්,Gender
හුජ්ජ,Gender
වේස,Gender
බල්ලව,Gender
පර,Gender
සක්කිලි,Gender
පයිය,Gender
කුපේ,Gender
සක්කිලි,Gender
කිම්බ,Gender
කිම්බ,Gender
කිම්බ,Gender
කිම්බගෙ,Gender
කිම්බ,Gender
කිම්බට,Gender
