word,Category
දිගපයිය,['Gender']
අං,['Gender','Disability']
අගමැටි,['Politics']
අජූත,['Disability']
අඩු,['Other']
අඩො,['Gender']
අන්තවාදීන්,['Religion','Race']
අප්පිරියයි,['Other']
අමන,['Disability']
අම්බ,['Gender']
අම්බලං,['Other']
අම්මගෙ,['Gender']
අම්මට,['Gender']
අම්මප,['Gender']
අම්මලා,['Gender']
අමාරුවක්,['Gender']
අමු,['Other']
අයිසෙ,['Gender']
අරාබි,['Race','NationalOrigin']
අරින්න,['Gender']
අල්ලස්කාරයා,['Politics']
අලුගුත්තේරු,['Disability']
අවජාතක,['Gender']
අවජාතකයා,['Gender']
අවජාතකයෙක්,['Gender']
අවජාතකයො,['Gender']
අවජාතකයෝ,['Gender']
අවලම්,['Gender','Disability']
අවුල්,['Gender']
අසමජ්ජාති,['Race']
අසික්කිත,['Gender']
අසූචි,['Other']
අහවල්,['Gender']
ආච්චිට,['Gender']
ආණ්ඩු කාක්කා,['Politics']
ආතල්,['Other']
ඇට,['Gender']
ඇටේ,['Gender']
ඇනගත්තු,['Other']
ඇනල,['Gender']
ඇන්නම,['Gender']
ඇරලා,['Gender']
ඉදහන්,['Gender']
ඉරාගෙන,['Gender']
උකවා,['Gender']
උකාලා,['Gender']
උගේ,['Gender']
උට්ටො,['Gender']
උබව,['Gender']
උබෙ,['Gender']
උඹ,['Gender']
උඹට,['Gender']
උඹව,['Gender']
උරලා,['Gender']
උල්ද,['Gender']
උස්සන්,['Gender']
උස්සන්ඩ,['Gender']
ඌ,['Gender']
ඌරු,['Gender','Religion']
ඌව,['Gender']
ඌවත්,['Gender']
ඌවම,['Gender']
එකි,['Gender']
එළදෙන,['Gender']
ඒකි,['Gender']
ඔකී,['Gender']
ඔටු,['Gender']
ඔබන,['Gender']
ඔළුවෙන්,['Gender']
ඕකගෙ,['Gender']
ඕකුන්,['Gender']
ඕනේ,['Gender']
ඕයි,['Gender']
කක්කා,['Gender']
කටුකන,['Politics']
කනවැන්දු,['Gender']
කන්,['Gender']
කඳන්,['Gender']
කපන්,['Gender']
කපන්න,['Gender']
කපයි,['Other']
කපල,['Other']
කපලා,['Other']
කබලා,['Race']
කම්බ,['Gender']
කරපංකෝ,['Gender']
කරුපයියා,['Gender']
කරුම,['Gender']
කරුමක්කාර,['Gender']
කරුමයක්,['Gender']
කරුමෙට,['Gender']
කරුමේ,['Gender']
කලු,['Race']
කවලම්,['Race','NationalOrigin']
කහනවා,['Gender']
කාලකණ්ණි,['Gender']
කාලකණ්ණින්ය,['Gender']
කාලකණ්ණිය,['Gender']
කාලකණ්ණියා,['Gender']
කාලකණ්ණියෙක්ද,['Gender']
කාලකණ්නි,['Gender']
කාලකන්ණි,['Gender']
කාලකන්නයි,['Gender']
කාලකන්නි,['Gender']
කාලකන්නියා,['Gender']
කාලකන්නියෙක්,['Gender']
කාලකාන්නි,['Gender']
කාලා,['Gender']
කාලාකණ්ණි,['Gender']
කාළකණ්නි,['Gender']
කාළකණ්නියා,['Gender']
කාළකන්නි,['Gender']
කාළකන්නියො,['Gender']
කැටයම්,['Gender']
කැත,['Gender']
කැඳයා,['Disability']
කැරි,['Gender']
කැරිම,['Gender']
කැරියෝ,['Gender']
කැල්ලා,['Gender']
කැහි,['Disability']
කැහිල්ලක්,['Gender']
කැහුටු,['Gender']
කෑල්ල,['Gender']
කෑලි,['Gender']
කෑවා,['Gender']
කිම්බ,['Gender']
කිම්බකට,['Gender']
කිම්බක්,['Gender']
කිම්බගෙ,['Gender']
කිම්බට,['Gender']
කිම්බවල්,['Gender']
කිම්බෙක්,['Gender']
කුක්කොද,['Gender']
කුණුහබ්බයක්,['Gender']
කුනු,['Politics','Disability','NationalOrigin']
කුනුහබ්බයක්වත්,['Other']
කුනුහරිප,['Gender']
කුලෙ,['Race']
කුලේ,['Race']
කුහකයො,['Other']
කෙබර,['Gender']
කෙලිනවා,['Gender']
කෙලින්නේ,['Other']
කෙහෙල්,['Gender']
කොට,['Gender']
කොටියෝ,['Gender']
කොනකපාලයා,['Gender']
කොන්ද,['Gender']
කොමිසන් කාරයා,['Politics']
කොල්ල,['Gender']
කොල්ලා,['Gender']
කොල්ලෙක්,['Gender']
කොල්ලෝ,['Gender']
ගන්න,['Gender']
ගඳයි,['Gender']
ගරන්නට,['Gender']
ගල්,['Gender']
ගලෝලා,['Gender']
ගස්ලබ්බ,['Gender']
ගහ,['Gender']
ගහගන්න,['Gender']
ගහගනිං,['Gender']
ගහන,['Gender']
ගහනවා,['Gender']
ගහන්නෑනේ,['Gender']
ගහපං,['Gender']
ගහපන්,['Gender']
ගහලා,['Gender']
ගහානවා,['Gender']
ගැණි,['Gender']
ගැනිගෙ,['Gender']
ගෑණි,['Gender']
ගෑණිගෙ,['Gender']
ගෑණිගේ,['Gender']
ගෑණිට,['Gender']
ගෑණියෙක්,['Gender']
ගෑණු,['Gender']
ගෑනිගේ,['Gender']
ගෑනියෙ,['Gender']
ගෑනු,['Gender']
ගෑනුන්ට,['Gender']
ගුටි,['Gender']
ගුදය,['Gender']
ගූ,['Gender']
ගෙ,['Gender']
ගෙම්බා,['Gender']
ගෙම්බෝ,['Gender']
ගෙරි,['Gender']
ගොං,['Gender']
ගොංපොන්නයො,['Gender']
ගොන්,['Disability']
ගොන්නු,['Disability']
ගොන්නුන්ට,['Disability']
ගොන්වස්ස,['Disability']
ගොනා,['Gender']
ගොබ්බ,['Gender']
ගොබිලෙක්නේ,['Gender']
ගෝත,['Gender']
ගෝතයා,['Gender']
චාටර්,['Gender']
චාරය,['Gender']
චීත්තෙ,['Gender']
චීනා,[' National Origin']
චුත,['Gender']
චූ,['Gender']
චූටී,['Gender']
ජංගියත්,['Gender']
ජනපති හොර,['Politics']
ජහජරා,['Gender']
ජාන,['Gender']
ජිවිත,['Gender']
ජොකා,['Gender']
ජොලියට,['Gender']
ජෝක්,['Gender']
ටහිකෙනවා,['Gender']
ටහිකේ,['Gender']
ටහුකන,['Gender']
ටහුකන්ඩ,['Gender']
ටහුකන්න,['Gender']
ටෙෳකන්න,['Gender']
ටොකු,['Gender']
ටොයියන්ට,['Gender']
ටෞකණ්ඩ,['Gender']
ඩෝ,['Gender']
තං,['Gender']
තකතීරු,['Gender']
