post_id,text,label,target_type,stereotype,category,tokens,text_length,off_word_count,rationales,offensive_words
995411387894542336,තේ නෙවෙයි තෝ බීලා ඉන්නෙ ගිනි වතුර,OFF,GRP,0.0,['Gender'],"['තේ', 'නෙවෙයි', 'තෝ', 'බීලා', 'ඉන්නෙ', 'ගිනි', 'වතුර']",33,1,"['0', '0', '1', '0', '0', '0', '0']",['තෝ']
1128238706303864832,@USER තුනක් ඕනේ නෑ එකක් ගැහුවනම් ඇති ලංකාවට ආපු ගමන් ඉල්ලා අස් වෙනවා කියලා,OFF,GRP,0.0,['Gender'],"['@USER', 'තුනක්', 'ඕනේ', 'නෑ', 'එකක්', 'ගැහුවනම්', 'ඇති', 'ලංකාවට', 'ආපු', 'ගමන්', 'ඉල්ලා', 'අස්', 'වෙනවා', 'කියලා']",74,1,"['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",['ඕනේ']
1290554471714496514,"@USER ,  @USER  @USER ටහුඩු ඒකි තනියම ජීවත් වෙන්න වෙරදරන එක්කෙනෙක් වෙන්න ඇති",OFF,GRP,0.0,['Gender'],"['@USER', ',', '@USER', '@USER', 'ටහුඩු', 'ඒකි', 'තනියම', 'ජීවත්', 'වෙන්න', 'වෙරදරන', 'එක්කෙනෙක්', 'වෙන්න', 'ඇති']",76,4,"['0', '0', '0', '0', '1', '1', '0', '0', '1', '0', '0', '1', '0']","['ටහුඩු', 'ඒකි', 'වෙන්න', 'වෙන්න']"
909459929446182913,@USER මර්විනුත් මුද්දරයක් වෙයිද දන්නේ නැ,NOT,,,[],"['@USER', 'මර්විනුත්', 'මුද්දරයක්', 'වෙයිද', 'දන්නේ', 'නැ']",40,0,"['0', '0', '0', '0', '0', '0']",[]
1305480579375198208,@USER ගොසිප් පීපල් නෙමේ හුත්තො. තෝ වගේ හොරෙක්ට මේකෙ ආයෙ දඩයං හොයන්න දෙන්නෑ. එච්චරයි,OFF,GRP,0.0,['Gender'],"['@USER', 'ගොසිප්', 'පීපල්', 'නෙමේ', 'හුත්තො', '.', 'තෝ', 'වගේ', 'හොරෙක්ට', 'මේකෙ', 'ආයෙ', 'දඩයං', 'හොයන්න', 'දෙන්නෑ', '.', 'එච්චරයි']",83,3,"['0', '0', '0', '0', '1', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0']","['හුත්තො', 'තෝ', 'හොරෙක්ට']"
1223789724063522816,අපිට නම් පෙන්නන්න තියෙන්නේ මේ ගල තමා! සුදු නෑ රතුයි!   ගුඩ් මෝනින් ෆ්‍රෙන්ස්!,OFF,GRP,0.0,['Gender'],"['අපිට', 'නම්', 'පෙන්නන්න', 'තියෙන්නේ', 'මේ', 'ගල', 'තමා', '!', 'සුදු', 'නෑ', 'රතුයි', '!', 'ගුඩ්', 'මෝනින්', 'ෆ්\u200dරෙන්ස්', '!']",77,1,"['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",['පෙන්නන්න']
1093017029282594816,කේන්තියෙන්ම මං ඔයාගේ තාත්තට මෝඩයා කියල බැන්නා. තාත්තට පුදුමයි .. එයා ඇහුව ඔයා කොහොමද මට එහෙම කතා කරේ කියල. මං කේන්තියෙන් පිපිරී පිපිරී තව හයියෙන් කෑගැහුවා. මොඩයා බූරුවා ගොනා පිස්සා.. ඔය වගේ හැම වචනයක්ම. ඔයා හිතන්නේ එයා මොනව කලා කියලද ...,OFF,GRP,0.0,['Gender'],"['කේන්තියෙන්ම', 'මං', 'ඔයාගේ', 'තාත්තට', 'මෝඩයා', 'කියල', 'බැන්නා', '.', 'තාත්තට', 'පුදුමයි', '.', '.', 'එයා', 'ඇහුව', 'ඔයා', 'කොහොමද', 'මට', 'එහෙම', 'කතා', 'කරේ', 'කියල', '.', 'මං', 'කේන්තියෙන්', 'පිපිරී', 'පිපිරී', 'තව', 'හයියෙන්', 'කෑගැහුවා', '.', 'මොඩයා', 'බූරුවා', 'ගොනා', 'පිස්සා', '.', '.', 'ඔය', 'වගේ', 'හැම', 'වචනයක්ම', '.', 'ඔයා', 'හිතන්නේ', 'එයා', 'මොනව', 'කලා', 'කියලද', '.', '.', '.']",237,4,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['මොඩයා', 'බූරුවා', 'ගොනා', 'පිස්සා']"
1334127010998755328,@USER ගොඩක් අයට මේක දකිනකොට රිදෙනව ඇයිද දන්නෑ,NOT,,,[],"['@USER', 'ගොඩක්', 'අයට', 'මේක', 'දකිනකොට', 'රිදෙනව', 'ඇයිද', 'දන්නෑ']",45,0,"['0', '0', '0', '0', '0', '0', '0', '0']",[]
1061972515759763456,"අපෙ අක්කා ගෙදර ඇවිත් මොකාක් හරි කුජීත කතාවක් කිවුවා.  ඊට පස්සෙ ""තමුසෙ දැන් ඕක ෆේස්බුක් දානවා එහෙම නෙමෙයි""  ප:ලි - ෂැක්. කතාව මතක නෑනේ",OFF,GRP,0.0,['Gender'],"['අපෙ', 'අක්කා', 'ගෙදර', 'ඇවිත්', 'මොකාක්', 'හරි', 'කුජීත', 'කතාවක්', 'කිවුවා', '.', 'ඊට', 'පස්සෙ', '""', 'තමුසෙ', 'දැන්', 'ඕක', 'ෆේස්බුක්', 'දානවා', 'එහෙම', 'නෙමෙයි', '""', 'ප', ':', 'ලි', '-', 'ෂැක්', '.', 'කතාව', 'මතක', 'නෑනේ']",133,2,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0']","['තමුසෙ', 'ප']"
784977776629559296,ඇමතිට හොඳ ගෑණි වීමට නීති විද්‍යාල විදුහල්පතිනි ඉන්දිරා කොතලාවල නීතිවේදීන් බිලි ගනී----  (ලංකා ඊ නිව්ස්... URL,OFF,GRP,0.0,['Gender'],"['ඇමතිට', 'හොඳ', 'ගෑණි', 'වීමට', 'නීති', 'විද්\u200dයාල', 'විදුහල්පතිනි', 'ඉන්දිරා', 'කොතලාවල', 'නීතිවේදීන්', 'බිලි', 'ගනී', '-', '-', '-', '-', '(', 'ලංකා', 'ඊ', 'නිව්ස්', '.', '.', '.', 'URL']",109,1,"['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",['ගෑණි']
1285434748211302401,@USER  @USER මම කැමතිම සීරීස් එක කීවොත් හරී  මම මේකෙන් ගොඩාක් දේවල් ඉගන ගත්තා.. බැරි දේවල් නොවේ... ගොඩාක් අමාරු තීරණ කලට වෙලාවට නගිපු විදිය... තමන්ගේ හතුරන් එක්ක පවා එකතු වෙන්න දෙපාරක් හිතුවේ නෑ මෙයාලා... පට්ටයි,OFF,GRP,0.0,['Gender'],"['@USER', '@USER', 'මම', 'කැමතිම', 'සීරීස්', 'එක', 'කීවොත්', 'හරී', 'මම', 'මේකෙන්', 'ගොඩාක්', 'දේවල්', 'ඉගන', 'ගත්තා', '.', '.', 'බැරි', 'දේවල්', 'නොවේ', '.', '.', '.', 'ගොඩාක්', 'අමාරු', 'තීරණ', 'කලට', 'වෙලාවට', 'නගිපු', 'විදිය', '.', '.', '.', 'තමන්ගේ', 'හතුරන්', 'එක්ක', 'පවා', 'එකතු', 'වෙන්න', 'දෙපාරක්', 'හිතුවේ', 'නෑ', 'මෙයාලා', '.', '.', '.', 'පට්ටයි']",211,2,"['0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0']","['එක', 'වෙන්න']"
1005739246035001345,බෝඩිමේ ගෙදර පොඩි එකා ගිරිය යටින් කෑ ගැහුව...  මං හිතන්නෙ මහ ගෑණි උගෙ බෙල්ල මිරිකුව,OFF,GRP,0.0,"['Age', 'Gender']","['බෝඩිමේ', 'ගෙදර', 'පොඩි', 'එකා', 'ගිරිය', 'යටින්', 'කෑ', 'ගැහුව.', '.', '.', 'මං', 'හිතන්නෙ', 'මහ', 'ගෑණි', 'උගෙ', 'බෙල්ල', 'මිරිකුව']",82,3,"['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0']","['පොඩි', 'ගෑණි', 'බෙල්ල']"
861077416835338241,මෙහෙවු කැබිනට් එකක මං ඉදලම නෑ.. කැබිනට් ප්‍රකාශක පිස්සු කෙලින්නේ.. ආණ්ඩුව ගිවිසුම සැප්තැම්බරයේ ඉවරයි.. එතකොට… URL,OFF,GRP,0.0,"['Disability', 'Gender']","['මෙහෙවු', 'කැබිනට්', 'එකක', 'මං', 'ඉදලම', 'නෑ', '.', '.', 'කැබිනට්', 'ප්\u200dරකාශක', 'පිස්සු', 'කෙලින්නේ', '.', '.', 'ආණ්ඩුව', 'ගිවිසුම', 'සැප්තැම්බරයේ', 'ඉවරයි', '.', '.', 'එතකොට', 'URL']",113,2,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['පිස්සු', 'කෙලින්නේ']"
1038766137415266305,"දේශපාලුවෝ බහුතරය පූජකයන්ට කැමතියි, මොකද ඕන ගොන් වැඩකට සාදු/හලලුයා කියන්න, ගොන් කතාවක් අහගෙන එකට වැදගෙන ඉන්න අමන ජනයට පුරදු පුහුණු කරන්නේ එව්වා සාමාන්‍ය දේවල් කරන්නේ පූජකයෝ නිසා..",OFF,GRP,0.0,"['Disability', 'Gender']","['දේශපාලුවෝ', 'බහුතරය', 'පූජකයන්ට', 'කැමතියි', ',', 'මොකද', 'ඕන', 'ගොන්', 'වැඩකට', 'සාදු', '/', 'හලලුයා', 'කියන්න', ',', 'ගොන්', 'කතාවක්', 'අහගෙන', 'එකට', 'වැදගෙන', 'ඉන්න', 'අමන', 'ජනයට', 'පුරදු', 'පුහුණු', 'කරන්නේ', 'එව්වා', 'සාමාන්\u200dය', 'දේවල්', 'කරන්නේ', 'පූජකයෝ', 'නිසා', '.', '.']",178,4,"['1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['දේශපාලුවෝ', 'ගොන්', 'ගොන්', 'අමන']"
1143097359393611777,@USER මේ කාලකන්නි දේශපාලඥයන්ගේ අමන ප්‍රකාශ නිසා තවදුරටත් සිද්ධවෙන්නේ සාමාන්‍ය මුස්ලිම් මිනිස්සුන්ව අනිත් මිනිස්සු විසින් තවදුරටත් පිළිකුල් කිරීම කරුණාකරලා අනවශ්‍ය දේවල් ප්‍රකාශ කරලා ජනතාව කුපිත කරන්නැතුව ඉන්නවා හිටපං පකයෝ පකයො,OFF,GRP,1.0,['Gender'],"['@USER', 'මේ', 'කාලකන්නි', 'දේශපාලඥයන්ගේ', 'අමන', 'ප්\u200dරකාශ', 'නිසා', 'තවදුරටත්', 'සිද්ධවෙන්නේ', 'සාමාන්\u200dය', 'මුස්ලිම්', 'මිනිස්සුන්ව', 'අනිත්', 'මිනිස්සු', 'විසින්', 'තවදුරටත්', 'පිළිකුල්', 'කිරීම', 'කරුණාකරලා', 'අනවශ්\u200dය', 'දේවල්', 'ප්\u200dරකාශ', 'කරලා', 'ජනතාව', 'කුපිත', 'කරන්නැතුව', 'ඉන්නවා', 'හිටපං', 'පකයෝ', 'පකයො']",226,4,"['0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1']","['කාලකන්නි', 'අමන', 'පකයෝ', 'පකයො']"
1391026966023737346,එම්බල පුරෝහිත තොට අමු කැවිලද.?,OFF,GRP,0.0,['Gender'],"['එම්බල', 'පුරෝහිත', 'තොට', 'අමු', 'කැවිලද', '.', '?']",30,2,"['0', '0', '1', '1', '0', '0', '0']","['තොට', 'අමු']"
1385784612673183745,"අපි මානසික රෝග හැදිච්ච මිනිස්සුන්ට සලකන්නේ කිසිම කරුනාවක් නැතුවයී. මිනිස්සුන්ට බනින්නේත් ""පිස්සා"" කියලයී. මනෝ චිකිත්සක රෝහලට කියන්නේ පිස්සන් කොටුව කියලයී. ඒ වුනාට පාර දිගේ බෞද්ධ කොඩි දාලා, අපි හොඳ බෞද්ධ රටක් කියලයී කියන්නේ.",OFF,GRP,0.0,['Gender'],"['අපි', 'මානසික', 'රෝග', 'හැදිච්ච', 'මිනිස්සුන්ට', 'සලකන්නේ', 'කිසිම', 'කරුනාවක්', 'නැතුවයී', '.', 'මිනිස්සුන්ට', 'බනින්නේත්', '""', 'පිස්සා', '""', 'කියලයී', '.', 'මනෝ', 'චිකිත්සක', 'රෝහලට', 'කියන්නේ', 'පිස්සන්', 'කොටුව', 'කියලයී', '.', 'ඒ', 'වුනාට', 'පාර', 'දිගේ', 'බෞද්ධ', 'කොඩි', 'දාලා', ',', 'අපි', 'හොඳ', 'බෞද්ධ', 'රටක්', 'කියලයී', 'කියන්නේ', '.']",223,2,"['0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['මානසික', 'පිස්සා']"
1285971894554910721,@USER ආයේ අතක් පයක් කැඩුනොත් මිසක් ජිම් නවත්තන්නේ නම් නෑ. බෙන්ච් ප්‍රෙස් ගහගන්න බෑ උරිස් ලොක් වෙලා. පළවෙනි පාර ගියාම මෙහෙම අමාරු උනේ නෑ,OFF,GRP,0.0,['Gender'],"['@USER', 'ආයේ', 'අතක්', 'පයක්', 'කැඩුනොත්', 'මිසක්', 'ජිම්', 'නවත්තන්නේ', 'නම්', 'නෑ', '.', 'බෙන්ච්', 'ප්\u200dරෙස්', 'ගහගන්න', 'බෑ', 'උරිස්', 'ලොක්', 'වෙලා', '.', 'පළවෙනි', 'පාර', 'ගියාම', 'මෙහෙම', 'අමාරු', 'උනේ', 'නෑ']",135,1,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",['ගහගන්න']
1088610651843502080,උබ නැතිවුනා කිවුවාම හිතා ගන්න බැරි වුනා බන් තමත් එහෙමයි හිනයක් වගෙ අඩො ගොඩක් දුකයි බන්   කොහොම වුනත්. දැන් උබ අපිට නැති වෙලා ඉවරයි බන්. නිවන් සුව මචන්  කවදාවත් මෙවන් අකල් මරණයක් සිද්ධ නොවෙවා   #RIP #kavinda,OFF,GRP,0.0,['Gender'],"['උබ', 'නැතිවුනා', 'කිවුවාම', 'හිතා', 'ගන්න', 'බැරි', 'වුනා', 'බන්', 'තමත්', 'එහෙමයි', 'හිනයක්', 'වගෙ', 'අඩො', 'ගොඩක්', 'දුකයි', 'බන්', 'කොහොම', 'වුනත්', '.', 'දැන්', 'උබ', 'අපිට', 'නැති', 'වෙලා', 'ඉවරයි', 'බන්', '.', 'නිවන්', 'සුව', 'මචන්', 'කවදාවත්', 'මෙවන්', 'අකල්', 'මරණයක්', 'සිද්ධ', 'නොවෙවා', '#', 'RIP', '#', 'kavinda']",206,2,"['0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['ගන්න', 'අඩො']"
